symbol,exchange,yahoo_ticker,company_name,aliases,sector,isin,scrip_code,source
AONESILVER,NSE,AONESILVER.NS,Aoneamc - Aonesilver,AONESILVER|Aoneamc - Aonesilver,,INF1J2R01171,760193,IIFL_SCRIPMASTER
AONETMMQ50,NSE,AONETMMQ50.NS,Aoneamc - Aonetmmq50,AONETMMQ50|Aoneamc - Aonetmmq50,,INF1J2R01148,759992,IIFL_SCRIPMASTER
AONETOTAL,NSE,AONETOTAL.NS,Aoneamc - Aonetotal,AONETOTAL|Aoneamc - Aonetotal,,INF1J2R01015,29975,IIFL_SCRIPMASTER
APARINDS,NSE,APARINDS.NS,Apar Industries,APARINDS|Apar Industries|Apar Industries Limited,,INE372A01015,11491,IIFL_SCRIPMASTER
APCOTEXIND,NSE,APCOTEXIND.NS,Apcotex Industries Limite,APCOTEXIND|Apcotex Industries Limite,,INE116A01032,154,IIFL_SCRIPMASTER
APEX,NSE,APEX.NS,Apex Frozen Foods,APEX|Apex Frozen Foods|Apex Frozen Foods Limited,,INE346W01013,21623,IIFL_SCRIPMASTER
APLAPOLLO,NSE,APLAPOLLO.NS,Apl Apollo Tubes,APLAPOLLO|Apl Apollo Tubes|Apl Apollo Tubes Limited,,INE702C01027,25780,IIFL_SCRIPMASTER
APOLLOHOSP,NSE,APOLLOHOSP.NS,Apollo Hospitals Enter. L,APOLLOHOSP|Apollo Hospitals Enter. L,,INE437A01024,157,IIFL_SCRIPMASTER
APOLLO,NSE,APOLLO.NS,Apollo Micro Systems,APOLLO|Apollo Micro Systems|Apollo Micro Systems Limited,,INE713T01028,1134,IIFL_SCRIPMASTER
APOLLOPIPE,NSE,APOLLOPIPE.NS,Apollo Pipes,APOLLOPIPE|Apollo Pipes|Apollo Pipes Limited,,INE126J01016,14361,IIFL_SCRIPMASTER
APOLSINHOT,NSE,APOLSINHOT.NS,Apollo Sindoori Hotel,APOLSINHOT|Apollo Sindoori Hotel|Apollo Sindoori Hotel Limited,,INE451F01024,6302,IIFL_SCRIPMASTER
APOLLOTYRE,NSE,APOLLOTYRE.NS,Apollo Tyres,APOLLOTYRE|Apollo Tyres|Apollo Tyres Limited,,INE438A01022,163,IIFL_SCRIPMASTER
APTECHT,NSE,APTECHT.NS,Aptech,APTECHT|Aptech|Aptech Limited,,INE266F01018,10755,IIFL_SCRIPMASTER
APTUS,NSE,APTUS.NS,Aptus Value Hsg Fin I,APTUS|Aptus Value Hsg Fin I|Aptus Value Hsg Fin I Limited,,INE852O01025,5435,IIFL_SCRIPMASTER
AQYLON,NSE,AQYLON.NS,Aqylon Nexus,AQYLON|Aqylon Nexus|Aqylon Nexus Limited,,INE416A01051,23365,IIFL_SCRIPMASTER
ACI,NSE,ACI.NS,Archean Chemical Ind,ACI|Archean Chemical Ind|Archean Chemical Ind Limited,,INE128X01021,12024,IIFL_SCRIPMASTER
ADL,NSE,ADL.NS,Archidply Decor,ADL|Archidply Decor|Archidply Decor Limited,,INE0CHO01012,245,IIFL_SCRIPMASTER
ARCHIDPLY,NSE,ARCHIDPLY.NS,Archidply Ind.,ARCHIDPLY|Archidply Ind.|Archidply Ind. Limited,,INE877I01016,16795,IIFL_SCRIPMASTER
ARCHIES,NSE,ARCHIES.NS,Archies,ARCHIES|Archies|Archies Limited,,INE731A01020,5688,IIFL_SCRIPMASTER
ARFIN,NSE,ARFIN.NS,Arfin India,ARFIN|Arfin India|Arfin India Limited,,INE784R01023,758700,IIFL_SCRIPMASTER
ARIES,NSE,ARIES.NS,Aries Agro,ARIES|Aries Agro|Aries Agro Limited,,INE298I01015,15204,IIFL_SCRIPMASTER
ARIHANTCAP,NSE,ARIHANTCAP.NS,Arihant Capital Mkts,ARIHANTCAP|Arihant Capital Mkts|Arihant Capital Mkts Limited,,INE420B01036,3813,IIFL_SCRIPMASTER
ARIHANT,NSE,ARIHANT.NS,Arihant Foun & Hou,ARIHANT|Arihant Foun & Hou|Arihant Foun & Hou Limited,,INE413D01011,13885,IIFL_SCRIPMASTER
ARIHANTSUP,NSE,ARIHANTSUP.NS,Arihant Superstruct,ARIHANTSUP|Arihant Superstruct|Arihant Superstruct Limited,,INE643K01018,20159,IIFL_SCRIPMASTER
ARIS,NSE,ARIS.NS,Arisinfra Solutions,ARIS|Arisinfra Solutions|Arisinfra Solutions Limited,,INE0H9P01028,757614,IIFL_SCRIPMASTER
ARKADE,NSE,ARKADE.NS,Arkade Developers,ARKADE|Arkade Developers|Arkade Developers Limited,,INE0QRL01017,25398,IIFL_SCRIPMASTER
ARMANFIN,NSE,ARMANFIN.NS,Arman Fin Serv,ARMANFIN|Arman Fin Serv|Arman Fin Serv Limited,,INE109C01017,17263,IIFL_SCRIPMASTER
